"electiondate","party","auftraggeber","date","poll_share","vote_share","vote_share_l1","electiondate_l1","electiondate_lead1"
2013-09-22,"fw","Politbarometer",2011-06-10,NA,NA,NA,"2009-09-27","2017-09-24"
2013-09-22,"fdp","Politbarometer",2011-06-10,4,4.8,14.6,"2009-09-27","2017-09-24"
2013-09-22,"cdu","Politbarometer",2011-06-10,34,41.5,33.8,"2009-09-27","2017-09-24"
2013-09-22,"bsw","Politbarometer",2011-06-10,NA,NA,NA,"2009-09-27","2017-09-24"
2013-09-22,"afd","Politbarometer",2011-06-10,NA,4.7,NA,"2009-09-27","2017-09-24"
2013-09-22,"spd","Infratest Dimap",2011-06-09,25,25.7,23,"2009-09-27","2017-09-24"
2013-09-22,"pir","Infratest Dimap",2011-06-09,NA,2.2,2,"2009-09-27","2017-09-24"
2013-09-22,"lin","Infratest Dimap",2011-06-09,8,8.6,11.9,"2009-09-27","2017-09-24"
2013-09-22,"gru","Infratest Dimap",2011-06-09,24,8.4,10.7,"2009-09-27","2017-09-24"
2013-09-22,"fw","Infratest Dimap",2011-06-09,NA,NA,NA,"2009-09-27","2017-09-24"
2013-09-22,"fdp","Infratest Dimap",2011-06-09,5,4.8,14.6,"2009-09-27","2017-09-24"
2013-09-22,"cdu","Infratest Dimap",2011-06-09,33,41.5,33.8,"2009-09-27","2017-09-24"
2013-09-22,"bsw","Infratest Dimap",2011-06-09,NA,NA,NA,"2009-09-27","2017-09-24"
2013-09-22,"afd","Infratest Dimap",2011-06-09,NA,4.7,NA,"2009-09-27","2017-09-24"
2013-09-22,"spd","Forsa",2011-06-08,22,25.7,23,"2009-09-27","2017-09-24"
2013-09-22,"pir","Forsa",2011-06-08,NA,2.2,2,"2009-09-27","2017-09-24"
2013-09-22,"lin","Forsa",2011-06-08,8,8.6,11.9,"2009-09-27","2017-09-24"
2013-09-22,"gru","Forsa",2011-06-08,27,8.4,10.7,"2009-09-27","2017-09-24"
2013-09-22,"fw","Forsa",2011-06-08,NA,NA,NA,"2009-09-27","2017-09-24"
2013-09-22,"fdp","Forsa",2011-06-08,5,4.8,14.6,"2009-09-27","2017-09-24"
2013-09-22,"cdu","Forsa",2011-06-08,30,41.5,33.8,"2009-09-27","2017-09-24"
2013-09-22,"bsw","Forsa",2011-06-08,NA,NA,NA,"2009-09-27","2017-09-24"
2013-09-22,"afd","Forsa",2011-06-08,NA,4.7,NA,"2009-09-27","2017-09-24"
2013-09-22,"spd","Verian (Kantar Public. Emnid)",2011-06-05,25,25.7,23,"2009-09-27","2017-09-24"
2013-09-22,"pir","Verian (Kantar Public. Emnid)",2011-06-05,NA,2.2,2,"2009-09-27","2017-09-24"
2013-09-22,"lin","Verian (Kantar Public. Emnid)",2011-06-05,8,8.6,11.9,"2009-09-27","2017-09-24"
2013-09-22,"gru","Verian (Kantar Public. Emnid)",2011-06-05,23,8.4,10.7,"2009-09-27","2017-09-24"
2013-09-22,"fw","Verian (Kantar Public. Emnid)",2011-06-05,NA,NA,NA,"2009-09-27","2017-09-24"
2013-09-22,"fdp","Verian (Kantar Public. Emnid)",2011-06-05,5,4.8,14.6,"2009-09-27","2017-09-24"
2013-09-22,"cdu","Verian (Kantar Public. Emnid)",2011-06-05,33,41.5,33.8,"2009-09-27","2017-09-24"
2013-09-22,"bsw","Verian (Kantar Public. Emnid)",2011-06-05,NA,NA,NA,"2009-09-27","2017-09-24"
2013-09-22,"afd","Verian (Kantar Public. Emnid)",2011-06-05,NA,4.7,NA,"2009-09-27","2017-09-24"
2013-09-22,"spd","Forsa",2011-05-31,24,25.7,23,"2009-09-27","2017-09-24"
2013-09-22,"pir","Forsa",2011-05-31,NA,2.2,2,"2009-09-27","2017-09-24"
2013-09-22,"lin","Forsa",2011-05-31,8,8.6,11.9,"2009-09-27","2017-09-24"
2013-09-22,"gru","Forsa",2011-05-31,26,8.4,10.7,"2009-09-27","2017-09-24"
2013-09-22,"fw","Forsa",2011-05-31,NA,NA,NA,"2009-09-27","2017-09-24"
2013-09-22,"fdp","Forsa",2011-05-31,4,4.8,14.6,"2009-09-27","2017-09-24"
2013-09-22,"cdu","Forsa",2011-05-31,30,41.5,33.8,"2009-09-27","2017-09-24"
2013-09-22,"bsw","Forsa",2011-05-31,NA,NA,NA,"2009-09-27","2017-09-24"
2013-09-22,"afd","Forsa",2011-05-31,NA,4.7,NA,"2009-09-27","2017-09-24"
2013-09-22,"spd","Verian (Kantar Public. Emnid)",2011-05-29,26,25.7,23,"2009-09-27","2017-09-24"
2013-09-22,"pir","Verian (Kantar Public. Emnid)",2011-05-29,NA,2.2,2,"2009-09-27","2017-09-24"
2013-09-22,"lin","Verian (Kantar Public. Emnid)",2011-05-29,8,8.6,11.9,"2009-09-27","2017-09-24"
2013-09-22,"gru","Verian (Kantar Public. Emnid)",2011-05-29,21,8.4,10.7,"2009-09-27","2017-09-24"
2013-09-22,"fw","Verian (Kantar Public. Emnid)",2011-05-29,NA,NA,NA,"2009-09-27","2017-09-24"
2013-09-22,"fdp","Verian (Kantar Public. Emnid)",2011-05-29,6,4.8,14.6,"2009-09-27","2017-09-24"
2013-09-22,"cdu","Verian (Kantar Public. Emnid)",2011-05-29,34,41.5,33.8,"2009-09-27","2017-09-24"
2013-09-22,"bsw","Verian (Kantar Public. Emnid)",2011-05-29,NA,NA,NA,"2009-09-27","2017-09-24"
2013-09-22,"afd","Verian (Kantar Public. Emnid)",2011-05-29,NA,4.7,NA,"2009-09-27","2017-09-24"
2013-09-22,"spd","Politbarometer",2011-05-27,28,25.7,23,"2009-09-27","2017-09-24"
2013-09-22,"pir","Politbarometer",2011-05-27,NA,2.2,2,"2009-09-27","2017-09-24"
2013-09-22,"lin","Politbarometer",2011-05-27,7,8.6,11.9,"2009-09-27","2017-09-24"
2013-09-22,"gru","Politbarometer",2011-05-27,22,8.4,10.7,"2009-09-27","2017-09-24"
2013-09-22,"fw","Politbarometer",2011-05-27,NA,NA,NA,"2009-09-27","2017-09-24"
2013-09-22,"fdp","Politbarometer",2011-05-27,4,4.8,14.6,"2009-09-27","2017-09-24"
2013-09-22,"cdu","Politbarometer",2011-05-27,34,41.5,33.8,"2009-09-27","2017-09-24"
2013-09-22,"bsw","Politbarometer",2011-05-27,NA,NA,NA,"2009-09-27","2017-09-24"
2013-09-22,"afd","Politbarometer",2011-05-27,NA,4.7,NA,"2009-09-27","2017-09-24"
2013-09-22,"spd","Forsa",2011-05-25,21,25.7,23,"2009-09-27","2017-09-24"
2013-09-22,"pir","Forsa",2011-05-25,NA,2.2,2,"2009-09-27","2017-09-24"
2013-09-22,"lin","Forsa",2011-05-25,9,8.6,11.9,"2009-09-27","2017-09-24"
2013-09-22,"gru","Forsa",2011-05-25,26,8.4,10.7,"2009-09-27","2017-09-24"
2013-09-22,"fw","Forsa",2011-05-25,NA,NA,NA,"2009-09-27","2017-09-24"
2013-09-22,"fdp","Forsa",2011-05-25,5,4.8,14.6,"2009-09-27","2017-09-24"
2013-09-22,"cdu","Forsa",2011-05-25,32,41.5,33.8,"2009-09-27","2017-09-24"
2013-09-22,"bsw","Forsa",2011-05-25,NA,NA,NA,"2009-09-27","2017-09-24"
2013-09-22,"afd","Forsa",2011-05-25,NA,4.7,NA,"2009-09-27","2017-09-24"
2013-09-22,"spd","Verian (Kantar Public. Emnid)",2011-05-22,26,25.7,23,"2009-09-27","2017-09-24"
2013-09-22,"spd","Infratest Dimap",2011-05-22,26,25.7,23,"2009-09-27","2017-09-24"
2013-09-22,"pir","Verian (Kantar Public. Emnid)",2011-05-22,NA,2.2,2,"2009-09-27","2017-09-24"
2013-09-22,"pir","Infratest Dimap",2011-05-22,NA,2.2,2,"2009-09-27","2017-09-24"
2013-09-22,"lin","Infratest Dimap",2011-05-22,8,8.6,11.9,"2009-09-27","2017-09-24"
2013-09-22,"lin","Verian (Kantar Public. Emnid)",2011-05-22,8,8.6,11.9,"2009-09-27","2017-09-24"
2013-09-22,"gru","Verian (Kantar Public. Emnid)",2011-05-22,21,8.4,10.7,"2009-09-27","2017-09-24"
2013-09-22,"gru","Infratest Dimap",2011-05-22,23,8.4,10.7,"2009-09-27","2017-09-24"
2013-09-22,"fw","Infratest Dimap",2011-05-22,NA,NA,NA,"2009-09-27","2017-09-24"
2013-09-22,"fw","Verian (Kantar Public. Emnid)",2011-05-22,NA,NA,NA,"2009-09-27","2017-09-24"
2013-09-22,"fdp","Verian (Kantar Public. Emnid)",2011-05-22,5,4.8,14.6,"2009-09-27","2017-09-24"
2013-09-22,"fdp","Infratest Dimap",2011-05-22,4,4.8,14.6,"2009-09-27","2017-09-24"
2013-09-22,"cdu","Verian (Kantar Public. Emnid)",2011-05-22,34,41.5,33.8,"2009-09-27","2017-09-24"
2013-09-22,"cdu","Infratest Dimap",2011-05-22,33,41.5,33.8,"2009-09-27","2017-09-24"
2013-09-22,"bsw","Infratest Dimap",2011-05-22,NA,NA,NA,"2009-09-27","2017-09-24"
2013-09-22,"bsw","Verian (Kantar Public. Emnid)",2011-05-22,NA,NA,NA,"2009-09-27","2017-09-24"
2013-09-22,"afd","Verian (Kantar Public. Emnid)",2011-05-22,NA,4.7,NA,"2009-09-27","2017-09-24"
2013-09-22,"afd","Infratest Dimap",2011-05-22,NA,4.7,NA,"2009-09-27","2017-09-24"
2013-09-22,"spd","GMS",2011-05-20,24,25.7,23,"2009-09-27","2017-09-24"
2013-09-22,"pir","GMS",2011-05-20,NA,2.2,2,"2009-09-27","2017-09-24"
2013-09-22,"lin","GMS",2011-05-20,9,8.6,11.9,"2009-09-27","2017-09-24"
2013-09-22,"gru","GMS",2011-05-20,23,8.4,10.7,"2009-09-27","2017-09-24"
2013-09-22,"fw","GMS",2011-05-20,NA,NA,NA,"2009-09-27","2017-09-24"
2013-09-22,"fdp","GMS",2011-05-20,4,4.8,14.6,"2009-09-27","2017-09-24"
2013-09-22,"cdu","GMS",2011-05-20,33,41.5,33.8,"2009-09-27","2017-09-24"
2013-09-22,"bsw","GMS",2011-05-20,NA,NA,NA,"2009-09-27","2017-09-24"
2013-09-22,"afd","GMS",2011-05-20,NA,4.7,NA,"2009-09-27","2017-09-24"
2013-09-22,"spd","Forsa",2011-05-18,22,25.7,23,"2009-09-27","2017-09-24"
2013-09-22,"spd","Allensbach",2011-05-18,27,25.7,23,"2009-09-27","2017-09-24"
2013-09-22,"pir","Allensbach",2011-05-18,NA,2.2,2,"2009-09-27","2017-09-24"
2013-09-22,"pir","Forsa",2011-05-18,NA,2.2,2,"2009-09-27","2017-09-24"
2013-09-22,"lin","Allensbach",2011-05-18,6.5,8.6,11.9,"2009-09-27","2017-09-24"
2013-09-22,"lin","Forsa",2011-05-18,9,8.6,11.9,"2009-09-27","2017-09-24"
2013-09-22,"gru","Forsa",2011-05-18,26,8.4,10.7,"2009-09-27","2017-09-24"
2013-09-22,"gru","Allensbach",2011-05-18,22,8.4,10.7,"2009-09-27","2017-09-24"
2013-09-22,"fw","Forsa",2011-05-18,NA,NA,NA,"2009-09-27","2017-09-24"
2013-09-22,"fw","Allensbach",2011-05-18,NA,NA,NA,"2009-09-27","2017-09-24"
2013-09-22,"fdp","Forsa",2011-05-18,3,4.8,14.6,"2009-09-27","2017-09-24"
2013-09-22,"fdp","Allensbach",2011-05-18,5.5,4.8,14.6,"2009-09-27","2017-09-24"
2013-09-22,"cdu","Forsa",2011-05-18,32,41.5,33.8,"2009-09-27","2017-09-24"
2013-09-22,"cdu","Allensbach",2011-05-18,33,41.5,33.8,"2009-09-27","2017-09-24"
2013-09-22,"bsw","Allensbach",2011-05-18,NA,NA,NA,"2009-09-27","2017-09-24"
2013-09-22,"bsw","Forsa",2011-05-18,NA,NA,NA,"2009-09-27","2017-09-24"
2013-09-22,"afd","Allensbach",2011-05-18,NA,4.7,NA,"2009-09-27","2017-09-24"
2013-09-22,"afd","Forsa",2011-05-18,NA,4.7,NA,"2009-09-27","2017-09-24"
2013-09-22,"spd","Verian (Kantar Public. Emnid)",2011-05-15,24,25.7,23,"2009-09-27","2017-09-24"
2013-09-22,"pir","Verian (Kantar Public. Emnid)",2011-05-15,NA,2.2,2,"2009-09-27","2017-09-24"
2013-09-22,"lin","Verian (Kantar Public. Emnid)",2011-05-15,9,8.6,11.9,"2009-09-27","2017-09-24"
2013-09-22,"gru","Verian (Kantar Public. Emnid)",2011-05-15,22,8.4,10.7,"2009-09-27","2017-09-24"
2013-09-22,"fw","Verian (Kantar Public. Emnid)",2011-05-15,NA,NA,NA,"2009-09-27","2017-09-24"
2013-09-22,"fdp","Verian (Kantar Public. Emnid)",2011-05-15,5,4.8,14.6,"2009-09-27","2017-09-24"
2013-09-22,"cdu","Verian (Kantar Public. Emnid)",2011-05-15,33,41.5,33.8,"2009-09-27","2017-09-24"
2013-09-22,"bsw","Verian (Kantar Public. Emnid)",2011-05-15,NA,NA,NA,"2009-09-27","2017-09-24"
2013-09-22,"afd","Verian (Kantar Public. Emnid)",2011-05-15,NA,4.7,NA,"2009-09-27","2017-09-24"
2013-09-22,"spd","Infratest Dimap",2011-05-13,26,25.7,23,"2009-09-27","2017-09-24"
2013-09-22,"pir","Infratest Dimap",2011-05-13,NA,2.2,2,"2009-09-27","2017-09-24"
2013-09-22,"lin","Infratest Dimap",2011-05-13,8,8.6,11.9,"2009-09-27","2017-09-24"
2013-09-22,"gru","Infratest Dimap",2011-05-13,22,8.4,10.7,"2009-09-27","2017-09-24"
2013-09-22,"fw","Infratest Dimap",2011-05-13,NA,NA,NA,"2009-09-27","2017-09-24"
2013-09-22,"fdp","Infratest Dimap",2011-05-13,5,4.8,14.6,"2009-09-27","2017-09-24"
2013-09-22,"cdu","Infratest Dimap",2011-05-13,33,41.5,33.8,"2009-09-27","2017-09-24"
2013-09-22,"bsw","Infratest Dimap",2011-05-13,NA,NA,NA,"2009-09-27","2017-09-24"
2013-09-22,"afd","Infratest Dimap",2011-05-13,NA,4.7,NA,"2009-09-27","2017-09-24"
2013-09-22,"spd","Forsa",2011-05-11,22,25.7,23,"2009-09-27","2017-09-24"
2013-09-22,"pir","Forsa",2011-05-11,NA,2.2,2,"2009-09-27","2017-09-24"
2013-09-22,"lin","Forsa",2011-05-11,9,8.6,11.9,"2009-09-27","2017-09-24"
2013-09-22,"gru","Forsa",2011-05-11,26,8.4,10.7,"2009-09-27","2017-09-24"
2013-09-22,"fw","Forsa",2011-05-11,NA,NA,NA,"2009-09-27","2017-09-24"
2013-09-22,"fdp","Forsa",2011-05-11,4,4.8,14.6,"2009-09-27","2017-09-24"
2013-09-22,"cdu","Forsa",2011-05-11,31,41.5,33.8,"2009-09-27","2017-09-24"
2013-09-22,"bsw","Forsa",2011-05-11,NA,NA,NA,"2009-09-27","2017-09-24"
2013-09-22,"afd","Forsa",2011-05-11,NA,4.7,NA,"2009-09-27","2017-09-24"
2013-09-22,"spd","Verian (Kantar Public. Emnid)",2011-05-08,24,25.7,23,"2009-09-27","2017-09-24"
2013-09-22,"pir","Verian (Kantar Public. Emnid)",2011-05-08,NA,2.2,2,"2009-09-27","2017-09-24"
2013-09-22,"lin","Verian (Kantar Public. Emnid)",2011-05-08,9,8.6,11.9,"2009-09-27","2017-09-24"
2013-09-22,"gru","Verian (Kantar Public. Emnid)",2011-05-08,23,8.4,10.7,"2009-09-27","2017-09-24"
2013-09-22,"fw","Verian (Kantar Public. Emnid)",2011-05-08,NA,NA,NA,"2009-09-27","2017-09-24"
2013-09-22,"fdp","Verian (Kantar Public. Emnid)",2011-05-08,5,4.8,14.6,"2009-09-27","2017-09-24"
2013-09-22,"cdu","Verian (Kantar Public. Emnid)",2011-05-08,33,41.5,33.8,"2009-09-27","2017-09-24"
2013-09-22,"bsw","Verian (Kantar Public. Emnid)",2011-05-08,NA,NA,NA,"2009-09-27","2017-09-24"
2013-09-22,"afd","Verian (Kantar Public. Emnid)",2011-05-08,NA,4.7,NA,"2009-09-27","2017-09-24"
2013-09-22,"spd","Politbarometer",2011-05-06,26,25.7,23,"2009-09-27","2017-09-24"
2013-09-22,"pir","Politbarometer",2011-05-06,NA,2.2,2,"2009-09-27","2017-09-24"
2013-09-22,"lin","Politbarometer",2011-05-06,7,8.6,11.9,"2009-09-27","2017-09-24"
2013-09-22,"gru","Politbarometer",2011-05-06,23,8.4,10.7,"2009-09-27","2017-09-24"
2013-09-22,"fw","Politbarometer",2011-05-06,NA,NA,NA,"2009-09-27","2017-09-24"
2013-09-22,"fdp","Politbarometer",2011-05-06,4,4.8,14.6,"2009-09-27","2017-09-24"
2013-09-22,"cdu","Politbarometer",2011-05-06,35,41.5,33.8,"2009-09-27","2017-09-24"
2013-09-22,"bsw","Politbarometer",2011-05-06,NA,NA,NA,"2009-09-27","2017-09-24"
2013-09-22,"afd","Politbarometer",2011-05-06,NA,4.7,NA,"2009-09-27","2017-09-24"
2013-09-22,"spd","Infratest Dimap",2011-05-05,26,25.7,23,"2009-09-27","2017-09-24"
2013-09-22,"pir","Infratest Dimap",2011-05-05,NA,2.2,2,"2009-09-27","2017-09-24"
2013-09-22,"lin","Infratest Dimap",2011-05-05,7,8.6,11.9,"2009-09-27","2017-09-24"
2013-09-22,"gru","Infratest Dimap",2011-05-05,23,8.4,10.7,"2009-09-27","2017-09-24"
2013-09-22,"fw","Infratest Dimap",2011-05-05,NA,NA,NA,"2009-09-27","2017-09-24"
2013-09-22,"fdp","Infratest Dimap",2011-05-05,4,4.8,14.6,"2009-09-27","2017-09-24"
2013-09-22,"cdu","Infratest Dimap",2011-05-05,35,41.5,33.8,"2009-09-27","2017-09-24"
2013-09-22,"bsw","Infratest Dimap",2011-05-05,NA,NA,NA,"2009-09-27","2017-09-24"
2013-09-22,"afd","Infratest Dimap",2011-05-05,NA,4.7,NA,"2009-09-27","2017-09-24"
2013-09-22,"spd","Forsa",2011-05-04,21,25.7,23,"2009-09-27","2017-09-24"
2013-09-22,"pir","Forsa",2011-05-04,NA,2.2,2,"2009-09-27","2017-09-24"
2013-09-22,"lin","Forsa",2011-05-04,8,8.6,11.9,"2009-09-27","2017-09-24"
2013-09-22,"gru","Forsa",2011-05-04,28,8.4,10.7,"2009-09-27","2017-09-24"
2013-09-22,"fw","Forsa",2011-05-04,NA,NA,NA,"2009-09-27","2017-09-24"
2013-09-22,"fdp","Forsa",2011-05-04,4,4.8,14.6,"2009-09-27","2017-09-24"
2013-09-22,"cdu","Forsa",2011-05-04,31,41.5,33.8,"2009-09-27","2017-09-24"
2013-09-22,"bsw","Forsa",2011-05-04,NA,NA,NA,"2009-09-27","2017-09-24"
2013-09-22,"afd","Forsa",2011-05-04,NA,4.7,NA,"2009-09-27","2017-09-24"
2013-09-22,"spd","Verian (Kantar Public. Emnid)",2011-05-01,24,25.7,23,"2009-09-27","2017-09-24"
2013-09-22,"pir","Verian (Kantar Public. Emnid)",2011-05-01,NA,2.2,2,"2009-09-27","2017-09-24"
2013-09-22,"lin","Verian (Kantar Public. Emnid)",2011-05-01,8,8.6,11.9,"2009-09-27","2017-09-24"
2013-09-22,"gru","Verian (Kantar Public. Emnid)",2011-05-01,24,8.4,10.7,"2009-09-27","2017-09-24"
2013-09-22,"fw","Verian (Kantar Public. Emnid)",2011-05-01,NA,NA,NA,"2009-09-27","2017-09-24"
2013-09-22,"fdp","Verian (Kantar Public. Emnid)",2011-05-01,4,4.8,14.6,"2009-09-27","2017-09-24"
2013-09-22,"cdu","Verian (Kantar Public. Emnid)",2011-05-01,34,41.5,33.8,"2009-09-27","2017-09-24"
2013-09-22,"bsw","Verian (Kantar Public. Emnid)",2011-05-01,NA,NA,NA,"2009-09-27","2017-09-24"
2013-09-22,"afd","Verian (Kantar Public. Emnid)",2011-05-01,NA,4.7,NA,"2009-09-27","2017-09-24"
2013-09-22,"spd","Forsa",2011-04-27,22,25.7,23,"2009-09-27","2017-09-24"
2013-09-22,"pir","Forsa",2011-04-27,NA,2.2,2,"2009-09-27","2017-09-24"
2013-09-22,"lin","Forsa",2011-04-27,9,8.6,11.9,"2009-09-27","2017-09-24"
2013-09-22,"gru","Forsa",2011-04-27,27,8.4,10.7,"2009-09-27","2017-09-24"
2013-09-22,"fw","Forsa",2011-04-27,NA,NA,NA,"2009-09-27","2017-09-24"
2013-09-22,"fdp","Forsa",2011-04-27,4,4.8,14.6,"2009-09-27","2017-09-24"
2013-09-22,"cdu","Forsa",2011-04-27,31,41.5,33.8,"2009-09-27","2017-09-24"
2013-09-22,"bsw","Forsa",2011-04-27,NA,NA,NA,"2009-09-27","2017-09-24"
2013-09-22,"afd","Forsa",2011-04-27,NA,4.7,NA,"2009-09-27","2017-09-24"
2013-09-22,"spd","Verian (Kantar Public. Emnid)",2011-04-24,25,25.7,23,"2009-09-27","2017-09-24"
2013-09-22,"pir","Verian (Kantar Public. Emnid)",2011-04-24,NA,2.2,2,"2009-09-27","2017-09-24"
2013-09-22,"lin","Verian (Kantar Public. Emnid)",2011-04-24,8,8.6,11.9,"2009-09-27","2017-09-24"
2013-09-22,"gru","Verian (Kantar Public. Emnid)",2011-04-24,23,8.4,10.7,"2009-09-27","2017-09-24"
2013-09-22,"fw","Verian (Kantar Public. Emnid)",2011-04-24,NA,NA,NA,"2009-09-27","2017-09-24"
2013-09-22,"fdp","Verian (Kantar Public. Emnid)",2011-04-24,4,4.8,14.6,"2009-09-27","2017-09-24"
2013-09-22,"cdu","Verian (Kantar Public. Emnid)",2011-04-24,33,41.5,33.8,"2009-09-27","2017-09-24"
2013-09-22,"bsw","Verian (Kantar Public. Emnid)",2011-04-24,NA,NA,NA,"2009-09-27","2017-09-24"
2013-09-22,"afd","Verian (Kantar Public. Emnid)",2011-04-24,NA,4.7,NA,"2009-09-27","2017-09-24"
2013-09-22,"spd","Forsa",2011-04-19,23,25.7,23,"2009-09-27","2017-09-24"
2013-09-22,"spd","GMS",2011-04-19,24,25.7,23,"2009-09-27","2017-09-24"
2013-09-22,"spd","Allensbach",2011-04-19,28,25.7,23,"2009-09-27","2017-09-24"
2013-09-22,"pir","Allensbach",2011-04-19,NA,2.2,2,"2009-09-27","2017-09-24"
2013-09-22,"pir","GMS",2011-04-19,NA,2.2,2,"2009-09-27","2017-09-24"
2013-09-22,"pir","Forsa",2011-04-19,NA,2.2,2,"2009-09-27","2017-09-24"
2013-09-22,"lin","Forsa",2011-04-19,8,8.6,11.9,"2009-09-27","2017-09-24"
2013-09-22,"lin","GMS",2011-04-19,8,8.6,11.9,"2009-09-27","2017-09-24"
2013-09-22,"lin","Allensbach",2011-04-19,7,8.6,11.9,"2009-09-27","2017-09-24"
2013-09-22,"gru","GMS",2011-04-19,24,8.4,10.7,"2009-09-27","2017-09-24"
2013-09-22,"gru","Forsa",2011-04-19,28,8.4,10.7,"2009-09-27","2017-09-24"
2013-09-22,"gru","Allensbach",2011-04-19,23,8.4,10.7,"2009-09-27","2017-09-24"
2013-09-22,"fw","GMS",2011-04-19,NA,NA,NA,"2009-09-27","2017-09-24"
2013-09-22,"fw","Forsa",2011-04-19,NA,NA,NA,"2009-09-27","2017-09-24"
2013-09-22,"fw","Allensbach",2011-04-19,NA,NA,NA,"2009-09-27","2017-09-24"
2013-09-22,"fdp","Forsa",2011-04-19,3,4.8,14.6,"2009-09-27","2017-09-24"
2013-09-22,"fdp","Allensbach",2011-04-19,5,4.8,14.6,"2009-09-27","2017-09-24"
2013-09-22,"fdp","GMS",2011-04-19,5,4.8,14.6,"2009-09-27","2017-09-24"
2013-09-22,"cdu","Forsa",2011-04-19,31,41.5,33.8,"2009-09-27","2017-09-24"
2013-09-22,"cdu","Allensbach",2011-04-19,32,41.5,33.8,"2009-09-27","2017-09-24"
2013-09-22,"cdu","GMS",2011-04-19,33,41.5,33.8,"2009-09-27","2017-09-24"
2013-09-22,"bsw","Allensbach",2011-04-19,NA,NA,NA,"2009-09-27","2017-09-24"
2013-09-22,"bsw","GMS",2011-04-19,NA,NA,NA,"2009-09-27","2017-09-24"
2013-09-22,"bsw","Forsa",2011-04-19,NA,NA,NA,"2009-09-27","2017-09-24"
2013-09-22,"afd","Allensbach",2011-04-19,NA,4.7,NA,"2009-09-27","2017-09-24"
2013-09-22,"afd","Forsa",2011-04-19,NA,4.7,NA,"2009-09-27","2017-09-24"
2013-09-22,"afd","GMS",2011-04-19,NA,4.7,NA,"2009-09-27","2017-09-24"
2013-09-22,"spd","Verian (Kantar Public. Emnid)",2011-04-17,23,25.7,23,"2009-09-27","2017-09-24"
2013-09-22,"pir","Verian (Kantar Public. Emnid)",2011-04-17,NA,2.2,2,"2009-09-27","2017-09-24"
2013-09-22,"lin","Verian (Kantar Public. Emnid)",2011-04-17,9,8.6,11.9,"2009-09-27","2017-09-24"
2013-09-22,"gru","Verian (Kantar Public. Emnid)",2011-04-17,24,8.4,10.7,"2009-09-27","2017-09-24"
2013-09-22,"fw","Verian (Kantar Public. Emnid)",2011-04-17,NA,NA,NA,"2009-09-27","2017-09-24"
2013-09-22,"fdp","Verian (Kantar Public. Emnid)",2011-04-17,5,4.8,14.6,"2009-09-27","2017-09-24"
2013-09-22,"cdu","Verian (Kantar Public. Emnid)",2011-04-17,32,41.5,33.8,"2009-09-27","2017-09-24"
2013-09-22,"bsw","Verian (Kantar Public. Emnid)",2011-04-17,NA,NA,NA,"2009-09-27","2017-09-24"
2013-09-22,"afd","Verian (Kantar Public. Emnid)",2011-04-17,NA,4.7,NA,"2009-09-27","2017-09-24"
2013-09-22,"spd","Politbarometer",2011-04-15,27,25.7,23,"2009-09-27","2017-09-24"
2013-09-22,"spd","Infratest Dimap",2011-04-15,26,25.7,23,"2009-09-27","2017-09-24"
2013-09-22,"pir","Infratest Dimap",2011-04-15,NA,2.2,2,"2009-09-27","2017-09-24"
2013-09-22,"pir","Politbarometer",2011-04-15,NA,2.2,2,"2009-09-27","2017-09-24"
2013-09-22,"lin","Politbarometer",2011-04-15,7,8.6,11.9,"2009-09-27","2017-09-24"
2013-09-22,"lin","Infratest Dimap",2011-04-15,8,8.6,11.9,"2009-09-27","2017-09-24"
2013-09-22,"gru","Politbarometer",2011-04-15,23,8.4,10.7,"2009-09-27","2017-09-24"
2013-09-22,"gru","Infratest Dimap",2011-04-15,24,8.4,10.7,"2009-09-27","2017-09-24"
2013-09-22,"fw","Politbarometer",2011-04-15,NA,NA,NA,"2009-09-27","2017-09-24"
2013-09-22,"fw","Infratest Dimap",2011-04-15,NA,NA,NA,"2009-09-27","2017-09-24"
2013-09-22,"fdp","Infratest Dimap",2011-04-15,4,4.8,14.6,"2009-09-27","2017-09-24"
2013-09-22,"fdp","Politbarometer",2011-04-15,4,4.8,14.6,"2009-09-27","2017-09-24"
2013-09-22,"cdu","Politbarometer",2011-04-15,34,41.5,33.8,"2009-09-27","2017-09-24"
2013-09-22,"cdu","Infratest Dimap",2011-04-15,33,41.5,33.8,"2009-09-27","2017-09-24"
2013-09-22,"bsw","Infratest Dimap",2011-04-15,NA,NA,NA,"2009-09-27","2017-09-24"
2013-09-22,"bsw","Politbarometer",2011-04-15,NA,NA,NA,"2009-09-27","2017-09-24"
2013-09-22,"afd","Infratest Dimap",2011-04-15,NA,4.7,NA,"2009-09-27","2017-09-24"
2013-09-22,"afd","Politbarometer",2011-04-15,NA,4.7,NA,"2009-09-27","2017-09-24"
2013-09-22,"spd","Forsa",2011-04-13,24,25.7,23,"2009-09-27","2017-09-24"
2013-09-22,"pir","Forsa",2011-04-13,NA,2.2,2,"2009-09-27","2017-09-24"
2013-09-22,"lin","Forsa",2011-04-13,8,8.6,11.9,"2009-09-27","2017-09-24"
2013-09-22,"gru","Forsa",2011-04-13,27,8.4,10.7,"2009-09-27","2017-09-24"
2013-09-22,"fw","Forsa",2011-04-13,NA,NA,NA,"2009-09-27","2017-09-24"
2013-09-22,"fdp","Forsa",2011-04-13,4,4.8,14.6,"2009-09-27","2017-09-24"
