"electiondate","party","auftraggeber","date","poll_share","vote_share","vote_share_l1","electiondate_l1","electiondate_lead1"
NA,"gru","insa",2024-10-05,11,NA,NA,NA,NA
NA,"fdp","insa",2024-10-05,4,NA,NA,NA,NA
NA,"cdu","insa",2024-10-05,31,NA,NA,NA,NA
NA,"bsw","insa",2024-10-05,8,NA,NA,NA,NA
NA,"afd","insa",2024-10-05,20,NA,NA,NA,NA
NA,"spd","emnid",2024-10-04,16,NA,NA,NA,NA
NA,"oth","emnid",2024-10-04,11,NA,NA,NA,NA
NA,"lin","emnid",2024-10-04,3,NA,NA,NA,NA
NA,"gru","emnid",2024-10-04,11,NA,NA,NA,NA
NA,"fdp","emnid",2024-10-04,4,NA,NA,NA,NA
NA,"cdu","emnid",2024-10-04,31,NA,NA,NA,NA
NA,"bsw","emnid",2024-10-04,7,NA,NA,NA,NA
NA,"afd","emnid",2024-10-04,17,NA,NA,NA,NA
NA,"spd","forsa",2024-10-01,17,NA,NA,NA,NA
NA,"oth","forsa",2024-10-01,12,NA,NA,NA,NA
NA,"lin","forsa",2024-10-01,3,NA,NA,NA,NA
NA,"gru","forsa",2024-10-01,10,NA,NA,NA,NA
NA,"fdp","forsa",2024-10-01,4,NA,NA,NA,NA
NA,"cdu","forsa",2024-10-01,31,NA,NA,NA,NA
NA,"bsw","forsa",2024-10-01,6,NA,NA,NA,NA
NA,"afd","forsa",2024-10-01,17,NA,NA,NA,NA
NA,"spd","insa",2024-09-30,15,NA,NA,NA,NA
NA,"oth","insa",2024-09-30,7.5,NA,NA,NA,NA
NA,"lin","insa",2024-09-30,2.5,NA,NA,NA,NA
NA,"gru","insa",2024-09-30,11,NA,NA,NA,NA
NA,"fdp","insa",2024-09-30,4,NA,NA,NA,NA
NA,"cdu","insa",2024-09-30,31.5,NA,NA,NA,NA
NA,"bsw","insa",2024-09-30,9.5,NA,NA,NA,NA
NA,"afd","insa",2024-09-30,19,NA,NA,NA,NA
NA,"spd","insa",2024-09-28,15,NA,NA,NA,NA
NA,"oth","insa",2024-09-28,6,NA,NA,NA,NA
NA,"lin","insa",2024-09-28,3,NA,NA,NA,NA
NA,"gru","insa",2024-09-28,11,NA,NA,NA,NA
NA,"fdp","insa",2024-09-28,4,NA,NA,NA,NA
NA,"cdu","insa",2024-09-28,32,NA,NA,NA,NA
NA,"bsw","insa",2024-09-28,10,NA,NA,NA,NA
NA,"afd","insa",2024-09-28,19,NA,NA,NA,NA
NA,"spd","fgw",2024-09-27,16,NA,NA,NA,NA
NA,"oth","fgw",2024-09-27,8,NA,NA,NA,NA
NA,"lin","fgw",2024-09-27,4,NA,NA,NA,NA
NA,"gru","fgw",2024-09-27,12,NA,NA,NA,NA
NA,"fdp","fgw",2024-09-27,4,NA,NA,NA,NA
NA,"cdu","fgw",2024-09-27,31,NA,NA,NA,NA
NA,"bsw","fgw",2024-09-27,8,NA,NA,NA,NA
NA,"afd","fgw",2024-09-27,17,NA,NA,NA,NA
NA,"spd","forsa",2024-09-24,15,NA,NA,NA,NA
NA,"oth","forsa",2024-09-24,14,NA,NA,NA,NA
NA,"lin","forsa",2024-09-24,NA,NA,NA,NA,NA
NA,"gru","forsa",2024-09-24,11,NA,NA,NA,NA
NA,"fdp","forsa",2024-09-24,4,NA,NA,NA,NA
NA,"cdu","forsa",2024-09-24,32,NA,NA,NA,NA
NA,"bsw","forsa",2024-09-24,7,NA,NA,NA,NA
NA,"afd","forsa",2024-09-24,17,NA,NA,NA,NA
NA,"spd","insa",2024-09-23,15.5,NA,NA,NA,NA
NA,"oth","insa",2024-09-23,7,NA,NA,NA,NA
NA,"lin","insa",2024-09-23,2.5,NA,NA,NA,NA
NA,"gru","insa",2024-09-23,9.5,NA,NA,NA,NA
NA,"fdp","insa",2024-09-23,3.5,NA,NA,NA,NA
NA,"cdu","insa",2024-09-23,32,NA,NA,NA,NA
NA,"bsw","insa",2024-09-23,10,NA,NA,NA,NA
NA,"afd","insa",2024-09-23,20,NA,NA,NA,NA
NA,"spd","insa",2024-09-21,15,NA,NA,NA,NA
NA,"oth","insa",2024-09-21,7,NA,NA,NA,NA
NA,"lin","insa",2024-09-21,2,NA,NA,NA,NA
NA,"gru","insa",2024-09-21,10,NA,NA,NA,NA
NA,"fdp","insa",2024-09-21,4,NA,NA,NA,NA
NA,"cdu","insa",2024-09-21,32,NA,NA,NA,NA
NA,"bsw","insa",2024-09-21,10,NA,NA,NA,NA
NA,"afd","insa",2024-09-21,20,NA,NA,NA,NA
NA,"spd","allensbach",2024-09-19,16,NA,NA,NA,NA
NA,"oth","allensbach",2024-09-19,8.5,NA,NA,NA,NA
NA,"lin","allensbach",2024-09-19,NA,NA,NA,NA,NA
NA,"gru","allensbach",2024-09-19,10,NA,NA,NA,NA
NA,"fdp","allensbach",2024-09-19,4,NA,NA,NA,NA
NA,"cdu","allensbach",2024-09-19,35.5,NA,NA,NA,NA
NA,"bsw","allensbach",2024-09-19,9,NA,NA,NA,NA
NA,"afd","allensbach",2024-09-19,17,NA,NA,NA,NA
NA,"spd","forsa",2024-09-17,15,NA,NA,NA,NA
NA,"spd","gms",2024-09-17,14,NA,NA,NA,NA
NA,"oth","forsa",2024-09-17,13,NA,NA,NA,NA
NA,"oth","gms",2024-09-17,17,NA,NA,NA,NA
NA,"lin","gms",2024-09-17,2,NA,NA,NA,NA
NA,"lin","forsa",2024-09-17,3,NA,NA,NA,NA
NA,"gru","gms",2024-09-17,11,NA,NA,NA,NA
NA,"gru","forsa",2024-09-17,11,NA,NA,NA,NA
NA,"fdp","gms",2024-09-17,4,NA,NA,NA,NA
NA,"fdp","forsa",2024-09-17,4,NA,NA,NA,NA
NA,"cdu","forsa",2024-09-17,31,NA,NA,NA,NA
NA,"cdu","gms",2024-09-17,34,NA,NA,NA,NA
NA,"bsw","gms",2024-09-17,NA,NA,NA,NA,NA
NA,"bsw","forsa",2024-09-17,6,NA,NA,NA,NA
NA,"afd","forsa",2024-09-17,17,NA,NA,NA,NA
NA,"afd","gms",2024-09-17,18,NA,NA,NA,NA
NA,"spd","insa",2024-09-16,14,NA,NA,NA,NA
NA,"oth","insa",2024-09-16,6.5,NA,NA,NA,NA
NA,"lin","insa",2024-09-16,2.5,NA,NA,NA,NA
NA,"gru","insa",2024-09-16,10,NA,NA,NA,NA
NA,"fdp","insa",2024-09-16,4.5,NA,NA,NA,NA
NA,"cdu","insa",2024-09-16,33,NA,NA,NA,NA
NA,"bsw","insa",2024-09-16,10,NA,NA,NA,NA
NA,"afd","insa",2024-09-16,19.5,NA,NA,NA,NA
NA,"spd","insa",2024-09-14,14,NA,NA,NA,NA
NA,"oth","insa",2024-09-14,7,NA,NA,NA,NA
NA,"lin","insa",2024-09-14,3,NA,NA,NA,NA
NA,"gru","insa",2024-09-14,10,NA,NA,NA,NA
NA,"fdp","insa",2024-09-14,4,NA,NA,NA,NA
NA,"cdu","insa",2024-09-14,33,NA,NA,NA,NA
NA,"bsw","insa",2024-09-14,10,NA,NA,NA,NA
NA,"afd","insa",2024-09-14,19,NA,NA,NA,NA
NA,"spd","forsa",2024-09-10,14,NA,NA,NA,NA
NA,"spd","insa",2024-09-10,14,NA,NA,NA,NA
NA,"oth","insa",2024-09-10,7.5,NA,NA,NA,NA
NA,"oth","forsa",2024-09-10,12,NA,NA,NA,NA
NA,"lin","insa",2024-09-10,2.5,NA,NA,NA,NA
NA,"lin","forsa",2024-09-10,3,NA,NA,NA,NA
NA,"gru","forsa",2024-09-10,11,NA,NA,NA,NA
NA,"gru","insa",2024-09-10,10,NA,NA,NA,NA
NA,"fdp","forsa",2024-09-10,3,NA,NA,NA,NA
NA,"fdp","insa",2024-09-10,4,NA,NA,NA,NA
NA,"cdu","forsa",2024-09-10,33,NA,NA,NA,NA
NA,"cdu","insa",2024-09-10,32.5,NA,NA,NA,NA
NA,"bsw","forsa",2024-09-10,7,NA,NA,NA,NA
NA,"bsw","insa",2024-09-10,10,NA,NA,NA,NA
NA,"afd","insa",2024-09-10,19.5,NA,NA,NA,NA
NA,"afd","forsa",2024-09-10,17,NA,NA,NA,NA
NA,"spd","insa",2024-09-07,15,NA,NA,NA,NA
NA,"oth","insa",2024-09-07,8,NA,NA,NA,NA
NA,"lin","insa",2024-09-07,3,NA,NA,NA,NA
NA,"gru","insa",2024-09-07,10,NA,NA,NA,NA
NA,"fdp","insa",2024-09-07,4,NA,NA,NA,NA
NA,"cdu","insa",2024-09-07,31,NA,NA,NA,NA
NA,"bsw","insa",2024-09-07,10,NA,NA,NA,NA
NA,"afd","insa",2024-09-07,19,NA,NA,NA,NA
NA,"spd","fgw",2024-09-06,15,NA,NA,NA,NA
NA,"spd","emnid",2024-09-06,15,NA,NA,NA,NA
NA,"oth","fgw",2024-09-06,9,NA,NA,NA,NA
NA,"oth","emnid",2024-09-06,10,NA,NA,NA,NA
NA,"lin","fgw",2024-09-06,4,NA,NA,NA,NA
NA,"lin","emnid",2024-09-06,3,NA,NA,NA,NA
NA,"gru","fgw",2024-09-06,11,NA,NA,NA,NA
NA,"gru","emnid",2024-09-06,12,NA,NA,NA,NA
NA,"fdp","fgw",2024-09-06,4,NA,NA,NA,NA
NA,"fdp","emnid",2024-09-06,4,NA,NA,NA,NA
NA,"cdu","fgw",2024-09-06,33,NA,NA,NA,NA
NA,"cdu","emnid",2024-09-06,31,NA,NA,NA,NA
NA,"bsw","fgw",2024-09-06,7,NA,NA,NA,NA
NA,"bsw","emnid",2024-09-06,8,NA,NA,NA,NA
NA,"afd","emnid",2024-09-06,17,NA,NA,NA,NA
NA,"afd","fgw",2024-09-06,17,NA,NA,NA,NA
NA,"spd","infratest",2024-09-05,15,NA,NA,NA,NA
NA,"oth","infratest",2024-09-05,9,NA,NA,NA,NA
NA,"lin","infratest",2024-09-05,3,NA,NA,NA,NA
NA,"gru","infratest",2024-09-05,11,NA,NA,NA,NA
NA,"fdp","infratest",2024-09-05,4,NA,NA,NA,NA
NA,"cdu","infratest",2024-09-05,33,NA,NA,NA,NA
NA,"bsw","infratest",2024-09-05,8,NA,NA,NA,NA
NA,"afd","infratest",2024-09-05,17,NA,NA,NA,NA
NA,"spd","forsa",2024-09-03,14,NA,NA,NA,NA
NA,"oth","forsa",2024-09-03,11,NA,NA,NA,NA
NA,"lin","forsa",2024-09-03,3,NA,NA,NA,NA
NA,"gru","forsa",2024-09-03,11,NA,NA,NA,NA
NA,"fdp","forsa",2024-09-03,5,NA,NA,NA,NA
NA,"cdu","forsa",2024-09-03,32,NA,NA,NA,NA
NA,"bsw","forsa",2024-09-03,7,NA,NA,NA,NA
NA,"afd","forsa",2024-09-03,17,NA,NA,NA,NA
NA,"spd","insa",2024-09-02,15,NA,NA,NA,NA
NA,"oth","insa",2024-09-02,7.5,NA,NA,NA,NA
NA,"lin","insa",2024-09-02,2.5,NA,NA,NA,NA
NA,"gru","insa",2024-09-02,10.5,NA,NA,NA,NA
