"n_parties","n_small_parties","uniform_share","between_district_vote_volatility","uniform_accuracy","proportional_accuracy","accuracy_diff","uniform_mae","proportional_mae","mae_diff","uniform_rmse","proportional_rmse","rmse_diff"
2,0,0.1,0.02,0.939206349206349,0.984793650793651,-0.0455873015873016,0.0262832828512319,0.018819216528721,0.0074640663225109,0.0290089896707639,0.0208749190732423,0.0081340705975216
2,0,0.1,0.03,0.90768253968254,0.949904761904762,-0.0422222222222223,0.029038409326153,0.0227457594319137,0.00629264989423925,0.0319032358853565,0.0247971163602909,0.00710611952506554
2,0,0.1,0.04,0.878444444444444,0.911206349206349,-0.0327619047619048,0.0332119797675324,0.0278166896623161,0.00539529010521628,0.036041214838925,0.0298223740260405,0.00621884081288442
2,0,0.1,0.05,0.862349206349206,0.880063492063492,-0.0177142857142858,0.037347787281206,0.0332172596851975,0.00413052759600855,0.0400318277243396,0.0351179570638965,0.00491387066044306
2,0,0.1,0.06,0.822507936507937,0.839650793650794,-0.0171428571428571,0.0432071731804424,0.0392823485819328,0.00392482459850956,0.0461250615764584,0.0413167709394744,0.00480829063698395
2,0,0.1,0.07,0.780444444444444,0.797587301587302,-0.0171428571428571,0.0485627069274106,0.0449167215549621,0.00364598537244849,0.0516290704760265,0.0468770458474193,0.00475202462860726
2,0,0.1,0.08,0.754571428571429,0.771396825396825,-0.0168253968253969,0.0535789113601389,0.0506368687756676,0.00294204258447126,0.056289028344415,0.0523846705436377,0.00390435780077737
2,0,0.1,0.09,0.726825396825397,0.74231746031746,-0.0154920634920634,0.0593527132913539,0.0564371214527731,0.00291559183858079,0.0621960786709188,0.0582895208732862,0.00390655779763262
2,0,0.1,0.1,0.705365079365079,0.723650793650794,-0.0182857142857143,0.0650545034729924,0.0627639879133267,0.00229051555966575,0.0673996217370133,0.0642175506809845,0.00318207105602876
2,0,0.1,0.12,0.683555555555556,0.693015873015873,-0.00946031746031739,0.0783958446402106,0.0759678665243293,0.00242797811588123,0.0809946144154693,0.0775997493055747,0.00339486510989463
2,0,0.1,0.15,0.651111111111111,0.66031746031746,-0.00920634920634922,0.0983298781339298,0.0962977196072302,0.00203215852669958,0.101317331090518,0.0981904659917052,0.00312686509881288
2,0,0.2,0.02,0.937142857142857,0.980126984126984,-0.0429841269841269,0.0259318059117831,0.0184470624973049,0.00748474341447817,0.0287602590728835,0.0205365428945226,0.00822371617836089
2,0,0.2,0.03,0.921777777777778,0.951746031746032,-0.029968253968254,0.0297199394155992,0.0232837363308161,0.00643620308478306,0.0325909832322256,0.0254053936044981,0.00718558962772754
2,0,0.2,0.04,0.87784126984127,0.905142857142857,-0.0273015873015873,0.0328481624025335,0.0277463294162696,0.00510183298626386,0.0357511148104087,0.0297517399998995,0.00599937481050926
2,0,0.2,0.05,0.853968253968254,0.87384126984127,-0.0198730158730159,0.0386182606795993,0.0341856337047387,0.00443262697486059,0.0416680928057315,0.0363791751760404,0.00528891762969114
2,0,0.2,0.06,0.804190476190476,0.826222222222222,-0.022031746031746,0.0432467243354938,0.0392876478378146,0.00395907649767926,0.0461905307085756,0.0413329032392213,0.00485762746935428
2,0,0.2,0.07,0.786888888888889,0.799968253968254,-0.0130793650793651,0.047983613808461,0.0446979623707881,0.00328565143767282,0.050726968769134,0.0465370141463734,0.00418995462276055
2,0,0.2,0.08,0.758412698412698,0.772126984126984,-0.0137142857142857,0.0539141653939631,0.0508783179344416,0.00303584745952146,0.0568509705974572,0.0527532454035425,0.0040977251939147
2,0,0.2,0.09,0.732412698412698,0.745428571428571,-0.013015873015873,0.0599193980829017,0.057121700939586,0.00279769714331566,0.0630101047989422,0.0591755122125634,0.00383459258637883
2,0,0.2,0.1,0.708634920634921,0.719873015873016,-0.0112380952380953,0.0650592088387108,0.0626192357009817,0.00243997313772906,0.0676901184718487,0.0642493064928542,0.00344081197899451
2,0,0.2,0.12,0.688,0.694730158730159,-0.00673015873015881,0.0786133822190783,0.0764337581040396,0.00217962411503869,0.0814793657906532,0.0782310885232473,0.00324827726740583
2,0,0.2,0.15,0.64752380952381,0.654571428571429,-0.00704761904761908,0.0974074563277747,0.0957130009265678,0.0016944554012069,0.0999245638682789,0.0972680193129806,0.0026565445552983
2,0,0.3,0.02,0.948349206349206,0.982825396825397,-0.0344761904761904,0.0250969427934857,0.0182080407275509,0.00688890206593479,0.0277318720981372,0.0201397800424528,0.00759209205568439
